BnaA06g23700D	GSBRNA2T00000824001
BnaA06g23690D	GSBRNA2T00000825001
BnaA06g23680D	GSBRNA2T00000827001
BnaA06g23670D	GSBRNA2T00000829001
BnaA06g23660D	GSBRNA2T00000830001
BnaA06g23650D	GSBRNA2T00000831001
BnaA06g23640D	GSBRNA2T00000832001
BnaA06g23630D	GSBRNA2T00000833001
BnaA06g23620D	GSBRNA2T00000835001
BnaA06g23610D	GSBRNA2T00000836001
BnaA06g23600D	GSBRNA2T00000837001
BnaC08g10950D	GSBRNA2T00000839001
BnaC08g10960D	GSBRNA2T00000842001
BnaC08g10970D	GSBRNA2T00000843001
BnaC08g10980D	GSBRNA2T00000844001
BnaC08g10990D	GSBRNA2T00000846001
BnaC08g11000D	GSBRNA2T00000847001
BnaC08g11010D	GSBRNA2T00000848001
BnaC08g11020D	GSBRNA2T00000849001
BnaC08g11030D	GSBRNA2T00000850001
BnaC08g11040D	GSBRNA2T00000852001
BnaC08g11050D	GSBRNA2T00000854001
BnaC08g11060D	GSBRNA2T00000856001
BnaC08g11070D	GSBRNA2T00000858001
BnaC08g11080D	GSBRNA2T00000866001
BnaC08g11090D	GSBRNA2T00000867001
BnaC08g11100D	GSBRNA2T00000871001
BnaC08g11110D	GSBRNA2T00000873001
BnaC08g11120D	GSBRNA2T00000874001
BnaC08g11130D	GSBRNA2T00000875001
BnaC08g11140D	GSBRNA2T00000876001
BnaC08g11150D	GSBRNA2T00000877001
BnaC08g11160D	GSBRNA2T00000878001
BnaC08g11170D	GSBRNA2T00000884001
BnaC08g11180D	GSBRNA2T00000885001
BnaC08g11190D	GSBRNA2T00000888001
BnaC08g11200D	GSBRNA2T00000890001
BnaC08g11210D	GSBRNA2T00000891001
BnaC08g11220D	GSBRNA2T00000892001
BnaC08g11230D	GSBRNA2T00000893001
BnaC08g11240D	GSBRNA2T00000899001
BnaC08g11250D	GSBRNA2T00000900001
BnaC08g11260D	GSBRNA2T00000902001
BnaC08g11270D	GSBRNA2T00000903001
BnaC08g11280D	GSBRNA2T00000904001
BnaC08g11290D	GSBRNA2T00000905001
BnaC08g11300D	GSBRNA2T00000906001
BnaC08g11310D	GSBRNA2T00000907001
BnaC08g11320D	GSBRNA2T00000908001
BnaC08g11330D	GSBRNA2T00000909001
BnaC08g11340D	GSBRNA2T00000910001
BnaC08g11350D	GSBRNA2T00000913001
BnaC08g11360D	GSBRNA2T00000917001
BnaC08g11370D	GSBRNA2T00000927001
BnaC08g11380D	GSBRNA2T00000928001
BnaC08g11390D	GSBRNA2T00000929001
BnaC08g11400D	GSBRNA2T00000930001
BnaC08g11410D	GSBRNA2T00000931001
BnaC08g11420D	GSBRNA2T00000932001
BnaC08g11430D	GSBRNA2T00000933001
BnaC08g11440D	GSBRNA2T00000934001
BnaC08g11450D	GSBRNA2T00000935001
BnaC08g11460D	GSBRNA2T00000936001
BnaC08g11470D	GSBRNA2T00000937001
BnaC08g11480D	GSBRNA2T00000938001
BnaC08g11490D	GSBRNA2T00000939001
BnaC08g11500D	GSBRNA2T00000940001
BnaC08g11510D	GSBRNA2T00000941001
